City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,De-Kastri,RU,51.4667,140.7833,60.93,66,96,5.77,overcast clouds
1,Kruisfontein,ZA,-34.0033,24.7314,50.88,39,100,9.01,overcast clouds
2,Velsk,RU,61.0701,42.0983,55.49,76,10,6.44,clear sky
3,Bethel,US,41.3712,-73.414,67.35,90,100,6.91,overcast clouds
4,Busselton,AU,-33.65,115.3333,67.12,77,3,25.14,light rain
5,Vadso,NO,70.0744,29.7487,40.08,81,75,10.36,broken clouds
6,Teya,RU,60.3778,92.6267,58.96,97,100,2.06,light rain
7,Jati,PK,24.3539,68.2671,87.75,65,5,20.47,clear sky
8,Atuona,PF,-9.8,-139.0333,78.08,69,0,19.35,clear sky
9,Butaritari,KI,3.0707,172.7902,82.71,74,19,13.85,few clouds
10,Port Alfred,ZA,-33.5906,26.891,54.43,54,62,10.22,broken clouds
11,Lagoa,PT,39.05,-27.9833,65.3,89,0,7.96,clear sky
12,Kushiro,JP,42.975,144.3747,70.75,73,40,11.5,scattered clouds
13,Mar Del Plata,AR,-38.0023,-57.5575,42.1,91,40,2.3,fog
14,Yellowknife,CA,62.456,-114.3525,59.56,55,40,8.05,scattered clouds
15,Foz,ES,43.5692,-7.2544,62.42,97,80,1.77,broken clouds
16,East London,ZA,-33.0153,27.9116,53.62,49,81,9.53,broken clouds
17,Cape Town,ZA,-33.9258,18.4232,61.21,52,0,13.8,clear sky
18,Gamba,GA,-2.65,10.0,70.38,89,100,3.33,overcast clouds
19,Kapaa,US,22.0752,-159.319,82.38,81,100,17.27,light rain
20,Cherskiy,RU,68.75,161.3,56.41,32,67,12.12,broken clouds
21,Shache,CN,38.4167,77.2406,81.43,18,33,17.94,scattered clouds
22,Coihaique,CL,-45.5752,-72.0662,38.01,75,75,3.44,broken clouds
23,Punta Arenas,CL,-53.15,-70.9167,33.91,75,75,23.02,broken clouds
24,Ushuaia,AR,-54.8,-68.3,24.13,93,83,6.13,broken clouds
25,Skjervoy,NO,70.0311,20.9714,45.37,75,6,2.01,clear sky
26,Tasiilaq,GL,65.6145,-37.6368,35.76,98,100,2.15,light rain
27,Hilo,US,19.7297,-155.09,80.33,71,100,8.05,overcast clouds
28,Albany,US,42.6001,-73.9662,68.41,84,100,7.18,overcast clouds
29,Iwakuni,JP,34.15,132.1833,78.28,69,40,6.91,haze
30,Irbit,RU,57.6705,63.071,68.49,71,1,1.43,clear sky
31,Hobart,AU,-42.8794,147.3294,52.27,87,75,9.22,moderate rain
32,Iqaluit,CA,63.7506,-68.5145,37.13,64,75,15.01,broken clouds
33,Grand-Santi,GF,4.25,-54.3833,71.89,99,100,1.88,overcast clouds
34,Trincomalee,LK,8.5711,81.2335,81.39,74,100,15.32,overcast clouds
35,Svetlyy,RU,54.675,20.1347,57.25,88,8,5.99,clear sky
36,Jardim,BR,-21.4803,-56.1381,69.55,70,0,3.36,clear sky
37,Acapulco,MX,16.8634,-99.8901,76.82,83,100,0.0,overcast clouds
38,Baykit,RU,61.67,96.37,74.43,61,97,10.07,light rain
39,Campo Largo,BR,-25.4586,-49.5283,56.66,88,34,3.62,scattered clouds
40,Nanakuli,US,21.3906,-158.1547,81.77,61,40,10.36,scattered clouds
41,Kattivakkam,IN,13.2167,80.3167,87.89,76,84,10.71,broken clouds
42,Luganville,VU,-15.5333,167.1667,82.98,73,97,9.01,overcast clouds
43,Barrow,US,71.2906,-156.7887,50.02,66,0,9.22,clear sky
44,Mataura,NZ,-46.1927,168.8643,46.47,73,6,1.14,clear sky
45,Tateyama,JP,34.9833,139.8667,76.1,86,100,17.16,heavy intensity rain
46,Nesebar,BG,42.7833,27.7333,56.35,62,1,3.78,clear sky
47,Voh,NC,-20.9667,164.7,82.98,66,100,5.59,overcast clouds
48,Kaitangata,NZ,-46.2817,169.8464,46.11,64,12,2.64,few clouds
49,Jamestown,US,42.097,-79.2353,76.71,89,0,8.99,clear sky
50,Casablanca,MA,33.5928,-7.6192,73.33,73,7,4.0,clear sky
51,Qaanaaq,GL,77.484,-69.3632,31.62,79,22,4.45,few clouds
52,Tiksi,RU,71.6872,128.8694,34.52,77,13,7.76,few clouds
53,Rikitea,PF,-23.1203,-134.9692,72.59,64,60,2.46,broken clouds
54,Northam,GB,51.0333,-4.2167,63.39,62,97,10.4,overcast clouds
55,New Norfolk,AU,-42.7826,147.0587,51.93,71,100,2.84,overcast clouds
56,Pitimbu,BR,-7.4706,-34.8086,73.99,93,30,10.58,scattered clouds
57,Thompson,CA,55.7435,-97.8558,46.56,66,20,11.5,few clouds
58,Longyearbyen,SJ,78.2186,15.6401,39.04,75,75,6.91,broken clouds
59,Villa Carlos Paz,AR,-31.4241,-64.4978,46.38,50,65,2.17,broken clouds
60,Tacuati,PY,-23.45,-56.5833,69.85,87,32,4.41,scattered clouds
61,Kjollefjord,NO,70.9457,27.3465,39.25,81,100,8.05,overcast clouds
62,Grajau,BR,-5.8194,-46.1386,76.41,73,100,2.68,overcast clouds
63,Geraldton,AU,-28.7667,114.6,68.41,94,100,20.71,overcast clouds
64,Kurya,RU,51.6003,82.2888,62.91,71,80,14.05,broken clouds
65,Springbok,ZA,-29.6643,17.8865,49.19,34,30,4.94,scattered clouds
66,Bredasdorp,ZA,-34.5322,20.0403,50.38,46,64,5.75,broken clouds
67,Nikolskoye,RU,59.7035,30.7861,55.87,75,100,6.51,overcast clouds
68,Hamilton,US,39.1834,-84.5333,83.5,82,0,6.91,clear sky
69,Hermanus,ZA,-34.4187,19.2345,52.81,47,34,6.49,scattered clouds
70,Gat,IL,31.61,34.7642,75.81,100,0,3.15,clear sky
71,Neiafu,TO,-18.65,-173.9833,83.08,65,40,14.97,scattered clouds
72,Blagoyevo,RU,63.3667,47.9167,59.61,64,14,6.13,few clouds
73,Itaituba,BR,-4.2761,-55.9836,68.5,79,2,0.83,clear sky
74,Jalu,LY,29.0331,21.5482,76.39,46,2,10.85,clear sky
75,Zhicheng,CN,30.2956,111.5047,86.59,54,94,5.14,overcast clouds
76,Ilhabela,BR,-23.7781,-45.3581,63.77,84,0,5.66,clear sky
77,Anori,BR,-3.7728,-61.6442,71.51,97,44,0.83,scattered clouds
78,Faanui,PF,-16.4833,-151.75,80.29,72,2,14.81,clear sky
