City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Jati,PK,87.75,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
8,Atuona,PF,78.08,clear sky,-9.8,-139.0333,Villa Enata
9,Butaritari,KI,82.71,few clouds,3.0707,172.7902,Isles Sunset Lodge
19,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
21,Shache,CN,81.43,scattered clouds,38.4167,77.2406,Delong Hotel
27,Hilo,US,80.33,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
29,Iwakuni,JP,78.28,haze,34.15,132.1833,Iwakuni Kokusai Kanko Hotel
34,Trincomalee,LK,81.39,overcast clouds,8.5711,81.2335,Welcombe Hotel
37,Acapulco,MX,76.82,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
40,Nanakuli,US,81.77,scattered clouds,21.3906,-158.1547,Camp Pālehua
41,Kattivakkam,IN,87.89,broken clouds,13.2167,80.3167,Euronova Freezer
42,Luganville,VU,82.98,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
45,Tateyama,JP,76.1,heavy intensity rain,34.9833,139.8667,Tateyama Seaside Hotel
47,Voh,NC,82.98,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
49,Jamestown,US,76.71,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
62,Grajau,BR,76.41,overcast clouds,-5.8194,-46.1386,Hotel Confiança
68,Hamilton,US,83.5,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
70,Gat,IL,75.81,clear sky,31.61,34.7642,OlusHome
71,Neiafu,TO,83.08,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
74,Jalu,LY,76.39,clear sky,29.0331,21.5482,صاحبة الفخامة
75,Zhicheng,CN,86.59,overcast clouds,30.2956,111.5047,Wangjiang Building
78,Faanui,PF,80.29,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
82,Turayf,SA,77.25,clear sky,31.6725,38.6637,Turaif
83,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
91,Barcelona,ES,84.87,clear sky,41.3888,2.159,Axel Hotel Barcelona
97,Sibolga,ID,79.95,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
101,Mirebalais,HT,75.92,overcast clouds,18.8333,-72.1053,Le Jardin
112,Billings,US,80.37,few clouds,45.7833,-108.5007,Best Western Plus Clocktower Inn
113,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
116,Aden,YE,86.09,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
117,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
118,Ambon,ID,84.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
123,Pemangkat,ID,79.39,overcast clouds,1.1667,108.9667,Ramah Kost KITA
124,Wattegama,LK,77.76,overcast clouds,6.7989,81.4808,
125,Praxedis Guerrero,MX,87.26,broken clouds,31.3667,-106.0167,Congregación placitas de Otero
132,Lumajang,ID,85.19,few clouds,-8.1335,113.2248,SPOT ON 2440 Wallet Family Residence
137,Vostok,RU,75.16,broken clouds,46.4856,135.8833,
140,Biltine,TD,88.5,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
146,Sungairaya,ID,77.65,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
147,Cayenne,GF,75.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
157,San Cristobal,VE,75.38,scattered clouds,7.7669,-72.225,Pirineos
158,Gwadar,PK,84.0,broken clouds,25.1216,62.3254,Sadaf Resort
160,Bene Ayish,IL,76.66,clear sky,31.7833,34.75,The Clementine Tree House
