City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bonavista,CA,2022-06-11 18:49:13,48.6499,-53.1147,57.09,71,100,19.62
1,Bakel,SN,2022-06-11 18:49:14,14.905,-12.4568,103.73,19,13,6.42
2,Cape Town,ZA,2022-06-11 18:49:15,-33.9258,18.4232,69.28,44,0,8.99
3,Tura,IN,2022-06-11 18:49:16,25.5198,90.2201,73.92,98,88,8.37
4,Gawan,IN,2022-06-11 18:49:16,28.4333,78.35,96.22,14,44,5.99
5,Aland,IN,2022-06-11 18:49:17,17.5667,76.5667,80.17,65,80,16.75
6,Odienne,CI,2022-06-11 18:49:17,9.51,-7.5692,80.71,66,100,7.2
7,Sao Felix Do Xingu,BR,2022-06-11 18:49:18,-6.6447,-51.995,87.44,51,95,2.68
8,Punta Arenas,CL,2022-06-11 18:49:18,-53.15,-70.9167,44.71,87,75,9.22
9,Rikitea,PF,2022-06-11 18:49:18,-23.1203,-134.9692,74.35,78,13,10.51
10,Fort Morgan,US,2022-06-11 18:49:19,40.2503,-103.8,93.85,17,0,12.66
11,Vaini,TO,2022-06-11 18:49:19,-21.2,-175.2,73.56,100,40,4.61
12,Leningradskiy,RU,2022-06-11 18:49:20,69.3833,178.4167,34.81,71,87,10.13
13,Port Alfred,ZA,2022-06-11 18:49:20,-33.5906,26.891,68.14,37,7,11.56
14,Sitka,US,2022-06-11 18:49:20,57.0531,-135.33,51.69,82,100,8.05
15,Jamestown,US,2022-06-11 18:46:10,42.097,-79.2353,74.95,39,77,7.0
16,Port Hardy,CA,2022-06-11 18:45:16,50.6996,-127.4199,57.38,77,75,6.91
17,Srednekolymsk,RU,2022-06-11 18:49:21,67.45,153.6833,52.5,58,7,1.52
18,Hobart,AU,2022-06-11 18:48:05,-42.8794,147.3294,40.86,86,75,18.41
19,Banda Aceh,ID,2022-06-11 18:49:21,5.5577,95.3222,79.84,77,100,9.57
20,Hithadhoo,MV,2022-06-11 18:49:22,-0.6,73.0833,83.71,71,84,9.37
21,Sola,VU,2022-06-11 18:49:22,-13.8833,167.55,80.64,75,69,7.7
22,Moose Factory,CA,2022-06-11 18:49:22,51.2585,-80.6094,57.2,77,100,10.36
23,Trinidad,BO,2022-06-11 18:49:23,-14.8333,-64.9,75.18,46,28,13.8
24,Port Hedland,AU,2022-06-11 18:49:23,-20.3167,118.5667,68.05,88,100,5.75
25,Atuona,PF,2022-06-11 18:47:47,-9.8,-139.0333,77.5,67,7,14.23
26,Agara,GE,2022-06-11 18:49:24,42.0376,43.8238,61.11,82,1,3.96
27,Avera,US,2022-06-11 18:49:24,33.194,-82.5271,91.38,34,44,4.9
28,Sedalia,US,2022-06-11 18:45:58,38.7045,-93.2283,86.76,58,75,5.01
29,Pangkalanbuun,ID,2022-06-11 18:49:24,-2.6833,111.6167,73.24,99,100,1.34
30,Sisophon,KH,2022-06-11 18:49:25,13.5859,102.9737,78.22,85,100,4.52
31,Albany,US,2022-06-11 18:45:05,42.6001,-73.9662,76.69,49,100,5.1
32,New Norfolk,AU,2022-06-11 18:49:25,-42.7826,147.0587,40.5,84,100,1.99
33,Egvekinot,RU,2022-06-11 18:49:26,66.3167,-179.1667,34.74,60,90,3.74
34,Kavieng,PG,2022-06-11 18:49:26,-2.5744,150.7967,81.9,72,6,14.0
35,Sabha,LY,2022-06-11 18:49:26,27.0377,14.4283,88.47,20,0,12.03
36,Puerto Ayora,EC,2022-06-11 18:49:27,-0.7393,-90.3518,76.96,88,57,8.01
37,Bengkulu,ID,2022-06-11 18:49:27,-3.8004,102.2655,74.86,91,100,6.82
38,Thompson,CA,2022-06-11 18:49:27,55.7435,-97.8558,66.36,42,40,6.91
39,Guerrero Negro,MX,2022-06-11 18:46:04,27.9769,-114.0611,76.75,53,6,14.92
40,Carnarvon,AU,2022-06-11 18:49:28,-24.8667,113.6333,70.47,68,0,11.68
41,Bambous Virieux,MU,2022-06-11 18:49:28,-20.3428,57.7575,73.65,73,75,10.36
42,Oranjemund,NA,2022-06-11 18:49:28,-28.55,16.4333,65.25,40,5,9.1
43,Lebu,CL,2022-06-11 18:49:29,-37.6167,-73.65,55.31,68,100,4.81
44,Touros,BR,2022-06-11 18:47:07,-5.1989,-35.4608,82.31,70,65,7.81
45,Hobyo,SO,2022-06-11 18:49:29,5.3505,48.5268,79.0,84,18,27.96
